annee,type_produit,nom_produit,quantite,prix,vecteur_id,country,annee_str,client,prix_total
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,12,215.4,1,France,2024,1,215.4
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,1,France,2025,1,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,2,50.0,1,France,2024,1,50.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,1,France,2025,1,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",2,110.0,1,France,2024,1,110.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,1,France,2025,1,0.0
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,6,228.0,1,France,2024,1,228.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,1,France,2025,1,0.0
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",2,80.0,1,France,2024,1,80.0
2025,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",0,0.0,1,France,2025,1,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,18,378.0,2,France,2024,2,378.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,6,89.9,2,France,2025,2,89.9
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,66,1184.7,2,France,2024,2,1184.7
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,48,909.6,2,France,2025,2,909.6
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,2,France,2024,2,0.0
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,18,485.1,2,France,2025,2,485.1
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,12,300.0,2,France,2024,2,300.0
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Conv.Bio) Extra-Brut 750 mL CRD,0,0.0,2,France,2025,2,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,2,France,2024,2,0.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Bio) Brut Nature 750 mL CRD,18,485.1,2,France,2025,2,485.1
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,25,625.0,2,France,2024,2,625.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,6,150.0,2,France,2025,2,150.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",12,660.0,2,France,2024,2,660.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",6,329.7,2,France,2025,2,329.7
2024,CHAMPAGNE,Paradoxe,0,0.0,2,France,2024,2,0.0
2025,CHAMPAGNE,Paradoxe,48,1099.05,2,France,2025,2,1099.05
2024,CHAMPAGNE,Rosé ! (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,2,France,2024,2,0.0
2025,CHAMPAGNE,Rosé ! (SSA) (Bio) Brut Nature 750 mL CRD,6,239.7,2,France,2025,2,239.7
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,6,90.0,2,France,2024,2,90.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,12,191.4,2,France,2025,2,191.4
2024,CHAMPAGNE,ROSE DE BLANCHE BRUT 750 mL CRD,6,125.0,3,non renseigné,2024,3,125.0
2025,CHAMPAGNE,ROSE DE BLANCHE BRUT 750 mL CRD,0,0.0,3,non renseigné,2025,3,0.0
2024,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,54,1620.0,4,non renseigné,2024,4,1620.0
2025,CHAMPAGNE,Blanc d'Assemblage (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,4,non renseigné,2025,4,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,5,non renseigné,2024,5,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,6,134.85,5,non renseigné,2025,5,134.85
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,5,non renseigné,2024,5,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,24,454.8,5,non renseigné,2025,5,454.8
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,5,non renseigné,2024,5,0.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Bio) Brut Nature 750 mL CRD,12,323.4,5,non renseigné,2025,5,323.4
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,4,84.0,6,France,2024,6,84.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,6,France,2025,6,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,12,215.4,6,France,2024,6,215.4
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,6,France,2025,6,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,600,10770.0,7,non renseigné,2024,7,10770.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,396,7504.2,7,non renseigné,2025,7,7504.2
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,600.0,7,non renseigné,2024,7,600.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,30,750.0,7,non renseigné,2025,7,750.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",12,660.0,7,non renseigné,2024,7,660.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",30,1648.5,7,non renseigné,2025,7,1648.5
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,912.0,7,non renseigné,2024,7,912.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,30,1140.0,7,non renseigné,2025,7,1140.0
2024,GOODIES,BONNET CHAVOST,0,0.0,7,non renseigné,2024,7,0.0
2025,GOODIES,BONNET CHAVOST,0,0.0,7,non renseigné,2025,7,0.0
2024,GOODIES,"Pancarte ""Eurêka""",0,0.0,7,non renseigné,2024,7,0.0
2025,GOODIES,"Pancarte ""Eurêka""",0,0.0,7,non renseigné,2025,7,0.0
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,6,0.0,7,non renseigné,2024,7,0.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,0,0.0,7,non renseigné,2025,7,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,60,1260.0,8,non renseigné,2024,8,1260.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,8,non renseigné,2025,8,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,270,4846.5,8,non renseigné,2024,8,4846.5
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,8,non renseigné,2025,8,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,60,1500.0,8,non renseigné,2024,8,1500.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,8,non renseigné,2025,8,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",30,1650.0,8,non renseigné,2024,8,1650.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,8,non renseigné,2025,8,0.0
2024,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,30,1140.0,8,non renseigné,2024,8,1140.0
2025,CHAMPAGNE,Rosé ! (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,8,non renseigné,2025,8,0.0
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,18,270.0,8,non renseigné,2024,8,270.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,0,0.0,8,non renseigné,2025,8,0.0
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",12,480.0,8,non renseigné,2024,8,480.0
2025,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",0,0.0,8,non renseigné,2025,8,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,9,non renseigné,2024,9,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,150,2842.5,9,non renseigné,2025,9,2842.5
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,9,non renseigné,2024,9,0.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",60,3297.0,9,non renseigné,2025,9,3297.0
2024,CHAMPAGNE,ESPRIT DE BLANCS 750 ml,8,0.0,10,non renseigné,2024,10,0.0
2025,CHAMPAGNE,ESPRIT DE BLANCS 750 ml,0,0.0,10,non renseigné,2025,10,0.0
2024,CHAMPAGNE,TERROIR BRUT 750 mL CRD,11,197.12,10,non renseigné,2024,10,197.12
2025,CHAMPAGNE,TERROIR BRUT 750 mL CRD,0,0.0,10,non renseigné,2025,10,0.0
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,12,100.0,11,non renseigné,2024,11,100.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,0,0.0,11,non renseigné,2025,11,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,30,538.5,12,France,2024,12,538.5
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,12,France,2025,12,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,24,600.0,12,France,2024,12,600.0
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,12,France,2025,12,0.0
